PROGRAMA;CONCURSO;FOLIO;AGNOPOSTULACION;AGNOFALLO;RESPONSABLEPROYECTO;SEXO;ROLINSTITUCION;INSTITUCION1ERNIVEL;RUTINSTITUCION;PAISINSTITUCION;REGIONINSTITUCION
FONDECYT;FONDECYT REGULAR 2016;1160690;2015;2016;MARCO RIVERA ABARCA;HOMBRE;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160691;2015;2016;ERICK SAAVEDRA FLORES;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE SANTIAGO DE CHILE;60911000-7;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160691;2015;2016;ERICK SAAVEDRA FLORES;HOMBRE;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160695;2015;2016;CARLOS FARDELLA BELLO;HOMBRE;INSTITUCION PRINCIPAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160695;2015;2016;CARLOS FARDELLA BELLO;HOMBRE;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160702;2015;2016;NICOLAS GUILIANI;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160702;2015;2016;NICOLAS GUILIANI;HOMBRE;INSTITUCION SECUNDARIA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160702;2015;2016;NICOLAS GUILIANI;HOMBRE;INSTITUCION SECUNDARIA;FUNDACION CIENCIA PARA LA VIDA;73124100-7;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160704;2015;2016;PAULINA DONOSO LAURENT;MUJER;INSTITUCION PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160705;2015;2016;GERMAN GUNTHER SAPUNAR;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160705;2015;2016;GERMAN GUNTHER SAPUNAR;HOMBRE;INSTITUCION SECUNDARIA;UNIVERSIDAD ANDRES BELLO;71540100-2;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160706;2015;2016;RUBEN ALMADA;HOMBRE;INSTITUCION SECUNDARIA;INSTITUTO DE INVESTIGACIONES AGROPECUARIAS;61312000-9;CHILE;REGION METROPOLITANA DE SANTIAGO
